County,Name,Web Address,Physical Address,Phone Number,Email Address,Ages listed,Age categories,ABA Services (Yes or No),Early Intervention,Speech Therapy,Physical Therapy,Occupational Therapy,Community Transitions,Community Living,Parenting Education,Advocacy Support,IEP Support Services,In-School Services,Support Groups,Residential Services,Medical Provider,Hospital Treatments,Mentorship,Referrals,Other (List the other services)
Avery,Spirit Ride,http://www.spiritridenc.org/,"7156 NC Hwy 194 S, Banner Elk, NC 28604",904-704-2244,SpiritRideNC@gmail.com,,children,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Equine Therapy
Beaufort,Autism Society of North Carolina,https://www.autismsociety-nc.org/,"2045-C Eastgate Drive, Greenville, NC 27858",252-756-1316,hakin@autismsociety-nc.org,0+,"Infants, toddler, preschool, children, adolescents, adults",Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,
Beaufort,TEACCH® Autism Program: Greenville Center,https://teacch.com/regional-centers/greenville-teacch-center/,"108-D West Fire Tower Road Winterville, NC 28590",252-830-3300,"jill_Scercy@med.unc.edu, sharonda_sutton-smith@med.unc.edu",0+,"Infants, toddler, preschool, children, adolescents, adults",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"Consultation, Parent Education"
Beaufort,Life Inc.,https://www.lifeincorporated.com/,"2609 Royall Ave, Goldsboro, NC 27534",919-778-1900,info@lifeincorporated.com,18+,Adults,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,
Beaufort,NC Division of Vocational Rehabilitation,https://www.ncdhhs.gov/divisions/dvrs,"953 Washington Square Mall Washington, NC 27889",252-946-0051,,21+,Adults,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,
Beaufort,Priorities ABA,http://www.prioritiesaba.com/,"2129 S Glenburnie Rd New Bern, NC 28562 (Suite 17)",252-341-4192,,0+,"Infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,
Beaufort,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"Brody School of Medicine, Irons Building, East Carolina University, Oglesby Drive, Greenville, NC 27858-4353",252-737-1177,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Beaufort,Autism Society of Eastern NC Social Recreation Program Summer Day Camp,https://www.autismsociety-nc.org/wp-content/uploads/EASTERN-NC-SOCIAL-RECREATION-PROGRAM-FAQ-6-24-18.pdf,"101 N Church St Richlands, NC 28574, 50 College Rd Bolivia, NC 28422, 705 S Kerr Avenue Wilmington, NC 28403, 113 Roberts Road, Newport, NC 28510, 4882 Reedy Branch Road, Winterville, NC 28590",252-658-3020,,4-22,"Preschool, children, adolescents, young adults",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Beaufort,Integrated Family Services Mobile Crisis Management Services,http://www.integratedfamilyservices.net/services/mobile-crisis-management/,"202 NC Hwy 42, P.O. Box 885, Ahoskie, NC 27910",252-209-0388,,0-12,"Infants, toddler, preschool, children",No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,
Bertie,Children's Developmental Services Agency,http://www.ecu.edu/cs-dhs/ecuphysicians/children/cdsaNew.cfm,"ECU Irons Building, Oglesby Drive, Greenville,NC 27858",252-737-1177,,0-3,"Infants, toddler",Yes,Yes,Yes,yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,
Bertie ,Autism Society of Eastern NC Social Recreation Program Summer Day Camp,https://www.autismsociety-nc.org/wp-content/uploads/EASTERN-NC-SOCIAL-RECREATION-PROGRAM-FAQ-6-24-18.pdf,"101 N Church St Richlands, NC 28574, 50 College Rd Bolivia, NC 28422, 705 S Kerr Avenue Wilmington, NC 28403, 113 Roberts Road, Newport, NC 28510, 4882 Reedy Branch Road, Winterville, NC 28590",252-658-3020,,4-22,"Preschool, children, adolescents, young adults",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Bladen,Primary Health Choice,http://www.primaryhealthchoice.org/,"219 West Broad Street, St. Pauls, NC 28384-1533",910-865-3500,,0+,"Infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,
Bladen,Dorothy Spainhour Child Development Center,http://www.easterseals.com/NCVA/our-programs/childrens-services/dorothy-spainhour.html,"223 Hull Rd. Fayetteville, NC 28303",910-483-7283,,0-5,"Infants, toddlers, preschool",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,
Bladen,"Southeastern Community & Family Services, Inc. Head Start Program",http://scfsnc.org/head-start-program/,"601 David Street Elizabethtown, NC 28337",910-862-3880,,3-5,"Toddlers, preschool",No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,
Bladen,Primary Health Choice,http://www.primaryhealthchoice.org/index.html,"219 West Broad Street, St. Pauls, NC 28384-1533",910-865-3500,,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,
Bladen,Therapy Works,https://therapyworksofwilmington.com/autism/,"Bladen County Hospital Poplar Street, PO Box 398 Elizabethtown, NC 28337",910-862-5104,tworks1@gmail.com,,"Infants, toddlers, children, adolescents, adults",No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
Bladen,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/,"1211 Ireland Drive Fayetteville, NC 28304 (Suite A)",910-486-1605,jim.northrop@dhhs.nc.gov,0-3,"Infants, toddlers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Brunswick,"Southeastern Community & Family Services, Inc. Head Start Program",https://scapnc.org/apply-for-head-start/,"7360 Mt. Zion Longwood, NC 28469",910-287-3637,longwoodhsc@scfsnc.org,3-5,"Toddlers, preschoolers, children",Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,"Referrals for Related Services, Pre-K, Head Start, Early Head Start",
Brunswick,"Southeastern Community & Family Services, Inc. Head Start Program",https://scapnc.org/apply-for-head-start/,"71 N. Piney Grove Road Bolivia, NC 28422",910-253-8155,pineygrovehsc@scfsnc.org,3-5,"Toddlers, preschoolers, children",Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,"Referrals for Related Services, Pre-K, Head Start, Early Head Start",
Brunswick,EasterSeals UCP - Wilmington Child Development Center,http://www.easterseals.com/NCVA/our-programs/childrens-services/wilmington-childrens-center.html,"4130 Oleander Drive, Suite 100, Wilmington, NC 28403",910-790-5921,Contact form,3+,"Toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,"Outpatient Services, Medication Management, Transition to Employment Services, Employment and Training Services, Community Support Teams, Therapeutic Foster Care, Summer Camp, Day Camp, After School Care, Wraparound, Food Assistance Programs",
Brunswick,Therapy Works,https://therapyworksofwilmington.com/autism/,"4114 Shipyard Blvd., Wilmington, NC 28403",910-343-8988,tworks1@gmail.com,3+,"Infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,"Developmental Gym, Comprehensive Referrals",
Brunswick,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/,"3311 Burnt Mill Drive Wilmington, NC 28403 (Suite 100)",910-251-5817,jim.northrop@dhhs.nc.gov,0-3,"Infants, toddlers",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments",
Brunswick,Autism Society of Eastern NC Social Recreation Program Summer Day Camp,https://www.autismsociety-nc.org/,"705 S Kerr Ave, Wilmington, NC 28403",910-782-3499,mkellogg@autismsociety-nc.org,0+,"Infants, preschoolers, children, adolescents, young adults",Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,"Summer camp, Education",
Buncombe,"Autism Society of NC, Buncombe County Chapter Meeting",https://www.autismsociety-nc.org/events/buncombe-county-chapter-meeting/,"5 Oak Street, Asheville, NC 28801",828-545-5466,annefinch00@hotmail.com,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,"Summer Camp, Education",
Buncombe,Arc of Buncombe County,https://www.arcofbuncombecounty.org/,"50 S. French Broad Avenue, Suite 212, Asheville NC 28802",828-253-1255,linda@arcofbc.org,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,"Crisis Intervention, Health & Wellness, Summer Camp, Liason Services",
Buncombe,TEACHH Autism Program,https://teacch.com/regional-centers/asheville-teacch-center/,"100 Technology Drive, Asheville, NC 28803",919-445-7020,TEACCH_Asheville@med.unc.edu,0+,"Infants, toddler, preschool, children, adolescents, adults",Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"Consultation, Parent Education",
Buncombe,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/find-cdsa?county=buncombe,"852 Merrimon Avenue, Asheville, NC 28804",828-251-6091,"maggie.panther@dhhs.nc.gov,",0-3,"infants, toddlers",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments",
Buncombe,Olson Huff Center at Mission Children’s Hospital,https://missionhealth.org/member-hospitals/childrens/about/?doing_wp_cron=1638743054.6948699951171875000000,"509 Biltmore Avenue, Asheville, NC 288901",828-213-1111,Contact form,0-22,"infants, toddlers, preschoolers, children, adolescents, young adults",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,"Emergency Services, Behavioral Support, Surgery, Other Medical Services",
Buncombe,BlueWest Opportunities- Western North Carolina Group Home for Autistic Persons,https://bluewestopportunities.org,"28 Pisgah View Ave, Asheville, NC 28803",828-251-2824,Contact form,18+,"young adults, adults",No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,"Day Program, Vocational Services, Employment Support, Programs for Individuals with Autism",
Buncombe,Care.Com,https://www.care.com/special-needs-nanny/asheville-nc,Contractors,Contractors,Contact form,0+,"infants, toddlers, preschoolers, children, adolescents, young adults",No,No,No,No,Yes,No,Nno,No,No,No,No,No,No,No,Yes,No,"Nanny Care, Assistive Technology, Sign Language, Feeding, Respiratory Care, Bed & Bath Support, Hygiene Care",
Buncombe,Camp Lakey Gap,https://www.camplakeygap.org/,"222 Fern Way, Black Mountain, NC 28711",828-669-8977,camplakeygap@gmail.com,4+,"preschoolers, children, adolescents, adults",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Residential Summer Camp, Special Diets, Medication Administration, 1:1 Individual Support by Trained Staff, Summer Camp Activities",
Buncombe,Southwestern Child Development Services,http://www.swcdcinc.org/,"1528 Webster Road, Sylva, NC 28779",828-586-5561,Contact form,0-16,"infants, preschoolers, children, adolescents",Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,"Parenting Programs, Childcare Services, Online Learning Tools, School-Age Child Initiatives",
Burke,Catawba Valley Behavioral Healthcare,https://www.cvhnc.org/,"301 E Meeting St, Morganton, NC 28655",828-624-1900,Contact form on page,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,
Burke,Ther-Equine Therapeutic Riding Center,https://www.ther-equine.com/,"2864 DAV Ave.,Morganton, NC 28655",828-443-0272,wendy@ther-equine.com,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Horse-Riding Therapy, Experiential Psychotherapy, Hippotherapy"
Burke,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"145-A West Parker Rd, Morganton, NC 28655",828-433-5171,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Cabarrus,A Bridge to Achievement,https://abridgetoachievement.com,"Charlotte, 28203",336-560-7878,Info@abta-aba.com,0-19,"infants, toddlers, preschoolers, children, adolescents, young adult",Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,
Cabarrus,Alternative Behavior Strategies (ABS),https://www.abskids.com,"900 Branchview Dr NE Concord, NC 28025",704-780-4271,info@abskids.com,,children,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,"At-Home Services, Psychological Assessments"
Cabarrus,Delta Behavioral Group,https://deltabehavior.com/,"10926 Tryon St. Suite E Charlotte, NC 28273",855-201-5498,,,,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,"Evaluations & Diagnosis, In-Home Services, Consultation, Custom Training, Assessments, Military Program"
Cabarrus,Complete Kidz,https://www.compleatkidz.com,"8440 PitStop Ct. NW Concord, NC 28027","704-960-1729, 980-225-7274",,,,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,
Cabarrus,Life Touch Therapy,https://www.lifetouchtherapy.com/,"9597 Indian Beech Ave NW, Concord, NC 28027",973-896-4332,lifetouchtherapy@yahoo.com,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,
Cabarrus,Amazing Grace Advocacy,www.amazingraceadvocacy.com/home.html,"1030 Central Drive NW, Concord, NC 28027",980-229-3423,,0-21,"infants, toddlers, children, adolescents, young adults",No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"Parent Support, Family Services, Adoptive Family Program, Youth Programs, Respite Care"
Cabarrus,Bilingual Therapy by Design,,"928 Copperfield Blvd, Concord, NC 28025",704-786-7676,,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Cabarrus,Autism Society of North Carolina Cabarrus County Chapter Meeting,https://www.autismsociety-nc.org/events/cabarrus-county-chapter-meeting-5/,"1030 Burrage Road, Concord, NC 27025",,,0+,"infants, toddlers, preschoolers, children, adolescents, adults",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Cabarrus,The Arc Union and Cabarrus County,https://thearcisthere.org/,"1653-C Campus Park Drive Monroe, NC 28112",704-261-1550,mmiller@thearcisthere.org,0+,"infants, toddlers, preschoolers, children, adolescents, adults",No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,
Cabarrus,Vocational Rehabilitation,,"295 Kannapolis Hwy, Concord, NC 28027",704-782-2151,,16+,"adolescents, adults",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Employment Assistance
Cabarrus,Cabarrus Vocational Opportunities,http://www.cabarrusvocopp.org/index.html,"107 Commercial Park Dr, Concord, NC 28027",704-793-1314,,18+,Adults,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Employment Assistance
Cabarrus,Concord Children’s Developmental Services Agency (CDSA),https://beearly.nc.gov/,"1065 Vinehaven Drive Concord, NC 28025",704-786-9181,,0-3,"infants, toddlers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,
Cabarrus,Wings of Eagles Ranch Summer Camp,https://wingsofeaglesranch.org/index.html,"4800 Faith Trails, Concord, NC 28025",704-784-3147,wingsofeaglesranch@gmail.com,4+,"preschoolers, children, adolescents, adults",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Horseback Riding, Scholarship Funds, Outdoor Adventures, Volunteering"
Cabarrus,Dharma Yoga Studio,,"1 Buffalo Avenue Suite 213, Concord NC 28025",704-785-6145,behindblueiiis@aol.com,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yoga Classes
Cabarrus,Cardinal Innovations Healthcare,https://www.cardinalinnovations.org/,"4855 Milestone Ave., Kannapolis, NC 28081",704-939-7590,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,
Cabarrus,Wings of Eagles Therapeutic Riding,http://wingsofeaglesranch.org/index.html,"4800 Faith Trails, Concord, NC 28025",704-784-3147,wingsofeaglesranch@gmail.com,2+,"children, adults",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Horseback Riding, Scholarship Funds, Outdoor Adventures, Volunteering"
Cabarrus,Kids Rein,http://www.kidsrein.org/,"3225 Cal Bost Rd, Midland, NC 28107",704-900-0145,info@kidsrein.com,3+,"children, adults",No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Therapeutic Horseback Riding, Behavial Analysis, Cognitive Learning, Sensory Integration Skills"
Caldwell,HomeCare Management Corporation,https://cbcare.com/,"6531 Meridian Dr. Suite 103 Raleigh, NC 27616",919-390-2980,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"Respite, Community Support, Employment Services, Overnight Services, In-Home Services"
Caldwell,"Autism Society of NC, Caldwell County Chapter Meeting",https://www.autismsociety-nc.org/events/caldwell-county-chapter-meeting/,2904 Morganton Blvd. SW Lenoir North Carolina 28645,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Caldwell,Caldwell County Family Resource Center,https://www.enolagroup.org/ehs-programs/family-resource-centers,"506 East Union Street Morganton, NC 28680",828-604-4906,,,,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Enrichment Experiences, Daily Activities and Opportunities"
Caldwell,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"145-A West Parker Rd, Morganton, NC 28655",828-433-5171,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Camden,Autism Society of North Carolina,https://www.autismsociety-nc.org/,"100 E. Colonial Ave, Elizabeth City, NC 27909",252-335-1089,,0+,"Infants, toddler, preschool, children, adolescents, adults",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Camden,TEACCH® Autism Program: Greenville Center,https://teacch.com/regional-centers/greenville-teacch-center/,"108-D West Fire Tower Road Winterville, NC 28590",252-830-3300,"jill_Scercy@med.unc.edu, sharonda_sutton-smith@med.unc.edu",0+,"Infants, toddler, preschool, children, adolescents, adults",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,"Consultation, Parent Education"
Camden,"EIC, Inc. Head Start Program",https://eicca.org/head-start,"712 Virginia Road, Edenton, NC 27932","252-789-4940, 252-789-4943, 252-789-4941, 252-789-4901, 252-789-4929",,3-5,Preschool,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
Camden,"EIC, Inc. Early Head Start Program",https://eicca.org/early-head-start,"712 Virginia Road, Edenton, NC 27932","252-789-4940, 252-789-4943, 252-789-4941, 252-789-4901, 252-789-4929",,0-3,Infants,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,
Camden,Integrated Family Services Mobile Crisis Management Services,http://www.integratedfamilyservices.net/services/mobile-crisis-management/,"202 Hwy 42 P.O. Box 885 Ahoskie, NC 27910",252-209-0388,,0-12,"Infants, toddler, preschool, children",No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Crisis Program, Mental Health Services"
Camden,North Carolina Infant-Toddler Program (NC ITP),https://beearly.nc.gov/index.php/contact/cdsa,"1417 Parkview Drive, PO Box 189, Elizabeth City, NC 27909",252-338-4044,N/A,0-3,"infants, toddlers, preschoolers",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,"Food Assistance, Developmental Assessments"
Camden,Autism Society of Eastern NC Social Recreation Program Summer Day Camp,https://www.autismsociety-nc.org/wp-content/uploads/EASTERN-NC-SOCIAL-RECREATION-PROGRAM-FAQ-6-24-18.pdf,"101 N Church St Richlands, NC 28574, 50 College Rd Bolivia, NC 28422, 705 S Kerr Avenue Wilmington, NC 28403, 113 Roberts Road, Newport, NC 28510, 4882 Reedy Branch Road, Winterville, NC 28590",252-658-3020,,4-22,"Preschool, children, adolescents, young adults",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,
Carteret,Focus Therapy Services,http://focustherapy.org/index.html,"5242 US Hwy 70 W Morehead City, NC 28557",252-222-3343,,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Feeding Therapy, Music Therapy, Interactive Metronome, Social Skill Training, Art Classes, Cooking Groups"
